student_id,event_id,student_department,student_year,event_category,event_department,previous_registrations,previous_attendance,category_match,department_match,event_popularity,registered
77,33,IT,4,Cultural,All,2,1,1,1,100,1
108,25,AI&DS,2,Hackathon,All,1,1,1,1,40,1
74,14,MECH,3,Seminar,CIVIL,5,4,0,0,64,0
44,6,IT,3,Technical,AI&DS,4,3,1,0,72,1
51,10,CSE,1,Workshop,All,5,2,1,1,71,1
107,37,ECE,4,Seminar,ECE,5,4,1,1,58,1
2,7,MECH,2,Workshop,MECH,2,2,1,1,80,1
64,8,MECH,2,Seminar,CIVIL,3,2,1,0,33,0
114,40,AI&DS,4,Hackathon,All,5,2,0,1,90,1
116,17,ECE,3,Hackathon,All,5,4,0,1,100,1
74,16,IT,3,Cultural,All,2,2,1,1,29,0
99,10,AI&DS,2,Technical,MECH,4,4,1,0,76,0
53,27,MECH,1,Hackathon,MECH,1,1,1,1,39,0
91,20,MECH,4,Hackathon,CIVIL,4,3,0,0,54,0
125,15,IT,4,Seminar,IT,3,1,1,1,48,1
104,11,MECH,2,Hackathon,CIVIL,6,5,0,0,40,0
7,6,AI&DS,4,Workshop,All,1,1,1,1,47,1
84,14,MECH,3,Cultural,All,6,5,0,1,61,1
108,17,CSE,4,Technical,All,5,2,0,1,13,0
58,5,AI&DS,1,Technical,All,5,4,1,1,61,1
40,16,ECE,4,Sports,ECE,5,4,0,1,58,0
120,17,IT,2,Hackathon,CSE,4,3,0,0,51,0
42,20,CSE,1,Cultural,MECH,2,2,1,0,42,0
51,5,CIVIL,2,Technical,AI&DS,4,4,0,0,67,0
31,37,CSE,3,Hackathon,CIVIL,2,2,1,0,54,1
4,27,MECH,1,Seminar,All,6,2,0,1,28,0
40,28,ECE,3,Hackathon,MECH,8,6,0,0,33,0
69,21,ECE,1,Cultural,All,8,4,0,1,34,1
98,22,CSE,4,Cultural,CSE,2,2,1,1,60,1
67,22,IT,3,Hackathon,IT,1,1,0,1,44,0
22,16,AI&DS,4,Seminar,All,8,7,0,1,16,1
126,29,CSE,1,Cultural,CSE,4,3,0,1,32,0
79,38,IT,4,Hackathon,AI&DS,6,5,1,0,45,1
91,30,IT,3,Cultural,IT,8,5,0,1,85,1
81,8,AI&DS,2,Workshop,AI&DS,3,2,1,1,51,1
135,39,IT,1,Workshop,IT,4,4,1,1,10,1
78,1,AI&DS,2,Cultural,AI&DS,5,4,1,1,63,1
75,9,AI&DS,4,Technical,MECH,8,6,1,0,62,1
88,12,CSE,3,Seminar,CSE,2,2,1,1,70,1
126,5,CIVIL,1,Workshop,CIVIL,5,5,0,1,58,1
78,6,ECE,1,Hackathon,All,2,2,0,1,43,0
134,25,MECH,4,Cultural,IT,2,2,0,0,20,0
16,40,AI&DS,1,Workshop,All,5,3,1,1,50,1
62,12,CIVIL,1,Workshop,CIVIL,6,4,0,1,29,1
121,19,CSE,2,Cultural,MECH,9,6,1,0,41,1
60,17,AI&DS,2,Seminar,AI&DS,2,1,1,1,49,1
39,18,ECE,1,Technical,ECE,2,1,1,1,35,1
146,19,MECH,1,Seminar,IT,3,2,0,0,59,0
127,29,CSE,1,Seminar,CSE,2,2,1,1,74,1
148,38,CSE,3,Hackathon,CSE,2,1,0,1,56,0
121,34,AI&DS,4,Cultural,AI&DS,6,4,0,1,63,1
126,6,MECH,3,Seminar,MECH,2,2,0,1,65,0
42,22,MECH,4,Cultural,All,8,5,0,1,76,1
117,6,IT,3,Cultural,IT,6,4,0,1,76,1
132,1,AI&DS,4,Seminar,AI&DS,5,3,0,1,64,1
128,29,CSE,2,Cultural,MECH,3,2,0,0,70,0
125,8,CSE,2,Sports,CSE,3,1,0,1,54,0
142,27,CSE,2,Technical,All,1,1,0,1,23,0
128,19,CIVIL,3,Seminar,ECE,3,1,0,0,75,0
38,25,ECE,2,Technical,ECE,2,2,0,1,52,0
107,22,CIVIL,3,Technical,CIVIL,3,2,1,1,12,1
149,32,ECE,4,Hackathon,All,2,2,0,1,42,0
117,21,ECE,2,Hackathon,ECE,7,4,0,1,77,1
106,3,IT,4,Sports,AI&DS,4,3,0,0,66,0
39,32,CSE,2,Hackathon,CSE,7,6,0,1,29,0
113,7,CIVIL,4,Technical,AI&DS,4,3,0,0,74,0
20,31,IT,3,Hackathon,All,2,2,1,1,100,1
137,25,IT,4,Hackathon,IT,4,3,1,1,39,1
74,15,AI&DS,1,Seminar,AI&DS,3,2,0,1,35,0
114,11,AI&DS,3,Technical,AI&DS,2,1,0,1,58,0
76,23,IT,4,Workshop,IT,5,4,1,1,49,1
47,11,ECE,1,Hackathon,ECE,5,4,0,1,91,1
150,10,ECE,4,Sports,ECE,3,3,1,1,79,1
3,30,IT,2,Technical,CIVIL,4,2,1,0,66,1
109,17,MECH,3,Workshop,CSE,2,1,1,0,39,0
147,23,CIVIL,3,Sports,CIVIL,6,6,0,1,88,1
102,18,CSE,1,Hackathon,IT,2,1,0,0,86,0
59,39,IT,2,Sports,IT,5,3,1,1,40,1
36,7,AI&DS,1,Cultural,All,5,4,1,1,56,1
34,6,IT,3,Sports,All,4,2,0,1,56,0
94,34,CIVIL,3,Workshop,CIVIL,6,4,0,1,56,1
124,19,AI&DS,3,Technical,All,7,3,0,1,65,1
58,26,CIVIL,3,Technical,All,4,2,0,1,50,1
117,24,AI&DS,3,Hackathon,AI&DS,2,1,1,1,61,1
96,7,AI&DS,2,Seminar,AI&DS,4,4,0,1,27,0
144,21,CIVIL,2,Sports,CIVIL,5,5,0,1,44,1
78,27,CSE,2,Technical,MECH,2,1,1,0,31,0
61,35,ECE,4,Seminar,ECE,4,3,0,1,41,1
139,27,CIVIL,2,Seminar,CIVIL,4,2,0,1,60,0
72,3,AI&DS,3,Workshop,All,3,1,1,1,59,1
95,35,AI&DS,3,Technical,AI&DS,1,0,1,1,68,1
32,30,CSE,2,Sports,CSE,2,1,0,1,74,0
63,9,CIVIL,2,Technical,CIVIL,3,2,1,1,42,1
60,22,ECE,1,Cultural,All,6,5,1,1,20,1
65,12,CSE,1,Workshop,CSE,3,2,0,1,61,0
61,38,IT,1,Workshop,IT,9,7,1,1,53,1
108,34,CSE,1,Seminar,CIVIL,7,3,1,0,61,1
129,15,CIVIL,1,Sports,CIVIL,3,3,1,1,80,1
8,4,MECH,4,Seminar,MECH,4,4,1,1,39,1
21,21,CIVIL,2,Technical,CIVIL,3,3,0,1,89,0
150,36,AI&DS,3,Seminar,MECH,5,2,0,0,43,0
111,7,AI&DS,1,Sports,AI&DS,3,2,0,1,70,0
111,29,ECE,4,Cultural,AI&DS,2,2,1,0,10,0
110,21,AI&DS,3,Cultural,MECH,3,2,1,0,66,1
22,6,MECH,1,Sports,CIVIL,3,3,1,0,61,0
144,36,IT,1,Seminar,IT,6,5,0,1,10,0
109,4,IT,3,Cultural,IT,5,3,0,1,79,0
40,31,ECE,1,Cultural,All,3,1,1,1,49,1
58,28,CIVIL,1,Hackathon,IT,2,2,1,0,34,0
70,20,IT,3,Technical,IT,3,3,1,1,66,1
103,5,ECE,1,Technical,All,3,2,0,1,46,0
88,11,IT,3,Sports,IT,4,4,0,1,10,0
22,4,ECE,2,Hackathon,ECE,3,3,1,1,82,1
114,28,MECH,4,Seminar,MECH,2,2,0,1,56,0
30,23,MECH,1,Cultural,CIVIL,3,2,0,0,72,0
12,15,MECH,1,Technical,MECH,6,2,0,1,76,1
36,17,IT,3,Technical,IT,4,3,1,1,64,1
45,9,MECH,2,Hackathon,IT,3,2,1,0,59,0
11,28,CSE,4,Technical,CIVIL,7,6,1,0,49,1
107,19,CSE,4,Technical,All,2,1,0,1,81,0
118,24,CSE,4,Technical,CSE,6,4,1,1,46,1
135,6,MECH,3,Sports,MECH,7,4,1,1,32,1
44,5,CIVIL,1,Hackathon,IT,5,3,1,0,28,0
38,16,CSE,2,Cultural,CSE,6,4,0,1,52,1
20,12,AI&DS,4,Seminar,MECH,2,2,0,0,63,0
145,40,IT,3,Workshop,AI&DS,2,2,1,0,76,1
71,38,CSE,3,Hackathon,CSE,3,2,1,1,48,1
10,4,IT,3,Technical,CSE,2,1,1,0,72,0
130,25,MECH,1,Seminar,ECE,2,1,1,0,78,0
122,33,ECE,1,Seminar,ECE,1,1,0,1,65,0
88,6,CIVIL,2,Technical,CIVIL,6,5,0,1,89,1
113,34,CIVIL,2,Cultural,CIVIL,3,1,1,1,67,1
105,22,AI&DS,1,Sports,All,3,2,1,1,13,0
99,19,IT,2,Cultural,IT,2,2,0,1,39,0
90,20,AI&DS,4,Workshop,IT,3,3,1,0,39,0
85,9,AI&DS,1,Sports,CSE,4,3,1,0,51,0
47,14,IT,4,Workshop,IT,3,2,1,1,42,1
20,19,CSE,1,Sports,CSE,3,2,0,1,51,0
34,39,MECH,2,Workshop,MECH,1,1,0,1,70,0
43,29,CSE,4,Cultural,All,3,3,0,1,42,0
73,29,ECE,2,Cultural,All,3,2,1,1,71,1
147,29,MECH,3,Seminar,ECE,8,5,0,0,21,0
36,17,CSE,4,Cultural,All,2,2,0,1,46,0
32,19,CSE,2,Cultural,All,2,1,0,1,87,1
57,29,IT,1,Seminar,IT,2,1,0,1,63,0
61,25,CSE,3,Workshop,CSE,1,1,0,1,47,0
86,10,ECE,1,Cultural,All,7,5,1,1,31,1
121,29,CIVIL,1,Technical,CIVIL,3,3,1,1,37,0
39,36,AI&DS,4,Technical,All,4,3,1,1,94,1
62,27,AI&DS,4,Technical,AI&DS,2,1,0,1,90,0
138,2,AI&DS,2,Sports,AI&DS,5,4,0,1,62,0
91,16,CIVIL,4,Workshop,All,3,3,0,1,78,1
18,34,CIVIL,1,Seminar,All,4,2,1,1,66,0
96,17,AI&DS,1,Cultural,AI&DS,2,2,0,1,46,0
27,38,AI&DS,3,Workshop,AI&DS,3,2,1,1,65,1
45,30,AI&DS,4,Sports,AI&DS,7,5,1,1,51,1
118,3,IT,2,Technical,IT,3,2,0,1,84,0
132,26,CIVIL,4,Cultural,CIVIL,2,1,0,1,71,0
74,23,CSE,3,Cultural,CSE,5,5,1,1,10,1
103,29,MECH,3,Workshop,All,3,3,0,1,76,1
22,28,CSE,4,Hackathon,All,3,2,1,1,38,1
27,6,IT,3,Cultural,ECE,0,0,0,0,42,0
90,29,CSE,3,Hackathon,All,2,2,0,1,28,0
15,5,AI&DS,4,Cultural,ECE,8,4,0,0,65,0
37,39,AI&DS,4,Technical,AI&DS,6,4,1,1,55,1
94,24,MECH,1,Hackathon,MECH,3,2,0,1,61,0
95,24,MECH,1,Hackathon,MECH,4,2,1,1,80,1
81,18,ECE,1,Technical,MECH,4,2,0,0,55,0
31,17,IT,4,Workshop,All,2,2,0,1,50,0
126,13,CSE,2,Technical,MECH,3,2,0,0,76,0
82,23,AI&DS,1,Hackathon,All,4,3,1,1,57,1
45,24,CIVIL,2,Technical,ECE,2,2,0,0,68,0
7,24,CIVIL,3,Seminar,CIVIL,3,2,0,1,41,0
17,20,MECH,4,Hackathon,CIVIL,7,5,1,0,62,1
82,5,MECH,4,Sports,All,5,4,0,1,61,1
142,38,ECE,2,Seminar,All,1,1,1,1,55,0
40,20,ECE,2,Cultural,All,2,1,0,1,26,0
133,19,CSE,3,Workshop,ECE,5,2,1,0,58,0
137,6,CIVIL,2,Hackathon,All,9,8,0,1,35,1
87,37,CSE,1,Technical,CSE,3,1,1,1,45,1
148,17,AI&DS,2,Hackathon,MECH,1,1,0,0,69,0
140,19,AI&DS,3,Seminar,AI&DS,3,3,0,1,17,0
104,20,MECH,1,Sports,MECH,5,4,0,1,46,0
124,30,ECE,3,Hackathon,ECE,6,5,0,1,83,1
82,23,MECH,2,Cultural,All,4,3,1,1,10,1
32,18,MECH,2,Workshop,MECH,6,4,1,1,68,1
99,40,MECH,2,Workshop,AI&DS,2,2,1,0,68,0
41,32,CIVIL,4,Seminar,CSE,6,5,0,0,84,0
130,30,ECE,2,Hackathon,ECE,4,2,1,1,68,1
127,39,AI&DS,4,Cultural,MECH,3,2,1,0,72,1
68,24,MECH,3,Technical,ECE,6,3,1,0,73,1
74,5,MECH,4,Hackathon,MECH,4,4,0,1,47,1
31,9,CSE,4,Cultural,IT,3,2,0,0,44,0
51,39,CIVIL,4,Hackathon,CIVIL,3,2,1,1,67,1
86,31,CIVIL,4,Workshop,IT,2,2,0,0,42,0
82,11,MECH,3,Hackathon,MECH,4,3,0,1,20,0
137,32,AI&DS,3,Seminar,AI&DS,6,5,1,1,44,1
107,38,IT,1,Hackathon,All,2,2,0,1,36,0
149,37,ECE,1,Hackathon,AI&DS,3,3,0,0,34,0
98,10,AI&DS,2,Technical,ECE,1,1,1,0,49,0
81,27,ECE,4,Sports,ECE,1,1,0,1,32,0
121,4,AI&DS,2,Hackathon,AI&DS,4,3,1,1,60,1
123,34,MECH,3,Workshop,CIVIL,1,1,1,0,22,0
68,40,MECH,2,Workshop,MECH,3,3,1,1,52,1
77,19,AI&DS,2,Sports,IT,3,2,0,0,80,0
71,19,CSE,4,Seminar,All,3,3,1,1,37,1
11,19,AI&DS,1,Cultural,AI&DS,6,4,0,1,69,1
52,35,IT,3,Workshop,IT,3,2,1,1,100,1
62,16,CSE,2,Sports,CSE,6,4,1,1,58,1
85,31,CSE,2,Technical,ECE,1,1,1,0,55,0
122,31,AI&DS,2,Cultural,AI&DS,3,2,0,1,34,0
23,37,ECE,1,Workshop,CSE,2,1,0,0,79,0
102,32,ECE,3,Technical,ECE,6,3,0,1,12,0
28,22,IT,4,Sports,ECE,6,4,0,0,36,0
120,18,ECE,1,Cultural,ECE,1,1,0,1,29,0
66,12,CSE,3,Cultural,ECE,2,1,0,0,41,0
104,28,CIVIL,3,Technical,All,5,4,0,1,50,0
123,21,ECE,1,Cultural,ECE,3,2,0,1,29,0
69,22,IT,1,Cultural,CSE,1,1,0,0,39,0
120,20,ECE,4,Sports,AI&DS,1,1,0,0,57,0
31,19,IT,2,Workshop,MECH,5,4,1,0,41,1
96,27,AI&DS,4,Hackathon,All,3,2,1,1,43,1
21,34,MECH,3,Technical,All,4,3,0,1,51,1
130,13,CIVIL,2,Workshop,CIVIL,2,1,0,1,97,0
30,14,AI&DS,4,Technical,CSE,3,2,1,0,67,1
132,27,MECH,1,Hackathon,AI&DS,3,2,1,0,59,1
66,1,AI&DS,2,Hackathon,AI&DS,5,4,1,1,34,1
17,35,CSE,1,Seminar,CSE,3,1,0,1,46,0
35,27,IT,4,Seminar,MECH,5,5,1,0,69,1
139,9,AI&DS,3,Technical,AI&DS,4,3,1,1,15,1
136,9,AI&DS,2,Technical,MECH,2,1,1,0,49,0
140,28,CIVIL,4,Workshop,CIVIL,2,1,1,1,67,1
71,13,AI&DS,1,Technical,All,1,1,0,1,83,0
5,16,ECE,1,Technical,AI&DS,0,0,0,0,68,0
13,16,AI&DS,1,Seminar,All,3,2,0,1,61,0
15,9,CIVIL,3,Workshop,IT,5,4,0,0,66,0
83,16,IT,2,Sports,IT,2,2,1,1,84,1
45,28,CIVIL,4,Technical,AI&DS,4,3,1,0,62,1
135,21,AI&DS,4,Seminar,AI&DS,2,1,1,1,72,1
138,31,ECE,2,Cultural,All,3,2,0,1,53,0
15,36,MECH,4,Hackathon,IT,5,4,1,0,60,1
21,29,IT,1,Hackathon,All,4,3,1,1,41,1
11,5,ECE,2,Seminar,ECE,3,2,0,1,34,0
78,1,ECE,2,Sports,ECE,2,1,0,1,46,0
123,16,AI&DS,2,Seminar,All,2,1,1,1,59,1
120,35,AI&DS,3,Cultural,AI&DS,3,2,0,1,31,0
128,30,CSE,4,Cultural,MECH,10,9,1,0,79,1
57,10,CSE,3,Hackathon,MECH,5,4,1,0,93,1
51,22,ECE,4,Hackathon,AI&DS,4,2,0,0,36,0
87,17,MECH,4,Seminar,MECH,6,5,0,1,78,1
44,9,AI&DS,4,Workshop,AI&DS,4,2,0,1,60,0
135,3,CSE,1,Technical,ECE,4,3,1,0,36,0
39,1,ECE,4,Cultural,ECE,5,2,0,1,44,1
124,32,CSE,1,Hackathon,All,2,2,1,1,55,1
71,35,IT,1,Hackathon,All,2,0,0,1,54,0
46,7,CSE,2,Workshop,CSE,1,1,1,1,46,0
91,18,MECH,1,Cultural,ECE,5,3,0,0,56,0
58,20,AI&DS,1,Sports,CSE,3,2,1,0,86,1
98,25,CIVIL,4,Technical,CSE,6,4,0,0,33,0
112,22,CIVIL,1,Hackathon,All,2,2,0,1,67,0
146,31,IT,1,Technical,All,1,1,1,1,56,0
9,12,IT,1,Workshop,AI&DS,8,7,0,0,49,0
20,20,ECE,2,Hackathon,CIVIL,3,3,1,0,59,1
36,6,CIVIL,3,Technical,CIVIL,4,3,1,1,65,1
20,22,CIVIL,4,Cultural,CIVIL,6,4,1,1,34,1
116,32,ECE,3,Hackathon,AI&DS,2,2,0,0,35,0
98,6,CIVIL,3,Workshop,All,6,4,1,1,57,1
40,25,IT,3,Technical,IT,3,1,0,1,11,0
114,24,IT,1,Workshop,IT,4,4,1,1,79,1
143,36,CIVIL,4,Technical,CIVIL,5,3,1,1,10,1
24,39,CIVIL,3,Seminar,CIVIL,5,3,0,1,43,0
22,36,ECE,2,Sports,ECE,6,4,1,1,78,1
78,18,MECH,2,Technical,MECH,2,2,1,1,24,1
77,31,CSE,3,Cultural,MECH,9,5,0,0,70,1
51,30,CSE,2,Cultural,CSE,5,3,1,1,15,1
98,22,MECH,3,Seminar,CIVIL,2,2,1,0,81,0
83,39,AI&DS,2,Seminar,AI&DS,2,1,0,1,29,0
82,19,AI&DS,4,Hackathon,IT,3,3,0,0,51,0
101,24,CSE,2,Hackathon,All,1,1,0,1,64,0
7,30,AI&DS,2,Seminar,CSE,3,1,0,0,53,0
105,32,ECE,3,Workshop,ECE,6,4,1,1,79,1
109,25,CSE,4,Hackathon,CIVIL,5,3,0,0,68,0
108,35,CSE,3,Sports,AI&DS,2,2,0,0,81,0
28,16,AI&DS,3,Workshop,All,2,2,0,1,86,0
103,22,MECH,1,Technical,MECH,5,4,1,1,65,1
133,36,CIVIL,2,Seminar,CIVIL,4,2,0,1,72,1
129,10,IT,1,Seminar,IT,5,5,0,1,58,1
22,8,AI&DS,2,Cultural,AI&DS,3,2,0,1,73,0
53,34,MECH,3,Seminar,MECH,6,5,0,1,67,1
116,21,CSE,3,Technical,All,2,2,0,1,38,0
28,11,AI&DS,2,Hackathon,AI&DS,4,3,1,1,83,1
144,28,MECH,2,Seminar,All,4,2,0,1,21,0
102,2,AI&DS,2,Seminar,AI&DS,4,3,1,1,78,1
72,5,CIVIL,1,Hackathon,CIVIL,2,2,1,1,50,1
118,8,IT,4,Hackathon,MECH,5,3,1,0,72,1
30,23,IT,4,Hackathon,IT,1,0,1,1,78,1
77,40,CIVIL,1,Sports,CIVIL,4,4,1,1,49,1
79,8,ECE,3,Sports,ECE,1,1,1,1,43,1
36,37,MECH,4,Workshop,AI&DS,4,4,0,0,77,0
45,36,ECE,4,Cultural,ECE,6,6,1,1,49,1
116,40,CSE,3,Technical,All,4,3,1,1,77,1
144,33,AI&DS,4,Seminar,All,2,2,0,1,61,1
43,6,CIVIL,1,Workshop,CIVIL,4,2,1,1,34,1
138,19,ECE,4,Hackathon,CIVIL,6,5,0,0,51,0
147,8,IT,3,Hackathon,All,5,3,1,1,86,1
140,14,MECH,1,Sports,IT,2,2,0,0,84,0
9,29,IT,3,Technical,All,2,1,0,1,56,0
54,38,AI&DS,3,Sports,CIVIL,6,5,1,0,53,1
53,14,CSE,3,Hackathon,CSE,4,3,1,1,76,1
83,19,IT,3,Hackathon,CSE,6,5,1,0,95,1
106,4,IT,2,Sports,All,3,2,0,1,59,0
64,26,MECH,2,Hackathon,MECH,4,1,0,1,59,0
24,26,CIVIL,3,Sports,MECH,5,3,1,0,66,1
1,6,AI&DS,4,Sports,CSE,2,1,0,0,29,0
102,14,MECH,2,Seminar,MECH,4,1,0,1,40,0
87,36,CIVIL,2,Hackathon,AI&DS,2,2,0,0,28,0
12,7,AI&DS,4,Technical,AI&DS,1,1,0,1,33,0
113,30,CSE,4,Workshop,AI&DS,3,2,1,0,82,0
71,6,AI&DS,3,Cultural,AI&DS,1,0,0,1,68,0
43,4,MECH,3,Sports,All,1,1,0,1,93,0
25,1,ECE,4,Technical,ECE,6,4,1,1,76,1
114,1,CSE,3,Technical,ECE,5,5,1,0,77,1
59,25,CSE,1,Technical,CSE,3,2,0,1,31,0
36,25,ECE,2,Technical,All,4,2,0,1,38,0
113,23,AI&DS,2,Sports,CIVIL,7,5,0,0,23,0
56,6,CSE,2,Technical,MECH,0,0,1,0,57,0
36,16,IT,1,Workshop,CIVIL,1,1,1,0,53,0
7,20,ECE,2,Sports,ECE,3,2,0,1,58,0
62,32,MECH,1,Workshop,CIVIL,5,4,0,0,18,0
4,24,IT,2,Seminar,IT,1,1,0,1,56,0
45,31,CSE,1,Hackathon,CSE,0,0,1,1,47,1
11,4,MECH,3,Sports,MECH,2,2,0,1,74,1
22,35,CIVIL,2,Cultural,CIVIL,5,4,1,1,64,1
53,10,CIVIL,3,Seminar,AI&DS,4,3,0,0,57,0
17,20,AI&DS,4,Sports,All,5,4,1,1,62,1
112,8,MECH,1,Cultural,ECE,4,2,1,0,56,0
36,1,ECE,4,Cultural,AI&DS,5,4,1,0,45,1
96,9,AI&DS,3,Sports,CSE,5,4,1,0,79,1
110,18,CIVIL,1,Cultural,CSE,4,3,0,0,29,0
131,24,CSE,4,Hackathon,CSE,4,3,1,1,91,1
27,37,AI&DS,1,Workshop,All,6,4,0,1,71,1
4,16,CSE,4,Cultural,CSE,4,3,1,1,58,1
10,36,AI&DS,4,Workshop,AI&DS,4,2,1,1,55,1
82,18,CSE,3,Technical,ECE,5,3,1,0,52,0
133,3,MECH,1,Seminar,IT,5,4,1,0,38,1
142,30,CSE,3,Workshop,CSE,4,3,0,1,46,0
63,30,IT,4,Workshop,All,1,1,1,1,69,1
2,27,CSE,2,Hackathon,CSE,4,2,0,1,46,1
3,22,CSE,4,Sports,All,3,2,0,1,54,0
61,27,MECH,1,Workshop,All,5,2,0,1,43,0
134,27,AI&DS,3,Seminar,All,1,1,1,1,64,1
35,26,CSE,1,Seminar,All,3,2,1,1,48,1
81,26,AI&DS,3,Cultural,All,3,2,0,1,81,0
35,38,CSE,2,Technical,CSE,1,1,1,1,59,1
105,8,CIVIL,3,Workshop,All,4,1,1,1,55,1
41,20,AI&DS,1,Workshop,CSE,2,2,1,0,52,0
92,26,CIVIL,1,Sports,CIVIL,2,1,0,1,43,0
45,2,MECH,4,Hackathon,All,6,4,0,1,26,0
36,8,CSE,1,Workshop,CSE,3,1,0,1,27,0
96,6,CIVIL,3,Technical,CIVIL,4,3,1,1,71,1
114,9,CSE,3,Technical,CSE,3,2,1,1,49,1
44,37,MECH,4,Seminar,MECH,3,2,0,1,38,0
45,23,ECE,2,Cultural,ECE,2,2,0,1,25,0
9,40,CIVIL,2,Sports,CIVIL,4,2,0,1,38,0
141,31,CSE,1,Cultural,CSE,8,6,0,1,75,1
135,16,AI&DS,1,Seminar,CIVIL,4,3,0,0,93,0
89,37,CIVIL,3,Seminar,CIVIL,3,2,1,1,88,1
57,2,IT,1,Seminar,ECE,5,3,0,0,31,0
26,16,AI&DS,2,Cultural,AI&DS,8,6,1,1,39,1
57,37,MECH,3,Workshop,MECH,4,3,0,1,62,1
92,38,CSE,3,Hackathon,ECE,3,2,0,0,17,0
127,35,IT,2,Seminar,IT,5,4,1,1,40,1
57,2,CIVIL,4,Technical,CIVIL,7,5,0,1,85,1
34,22,AI&DS,2,Cultural,AI&DS,4,1,1,1,39,1
37,8,CIVIL,3,Technical,CIVIL,6,3,0,1,50,1
102,38,CSE,3,Cultural,CSE,4,4,0,1,42,0
112,32,AI&DS,3,Workshop,CIVIL,3,2,0,0,43,0
58,38,ECE,4,Cultural,All,1,1,1,1,70,1
1,37,MECH,1,Workshop,CIVIL,7,6,1,0,10,0
145,7,MECH,2,Cultural,All,4,3,0,1,30,0
43,6,AI&DS,3,Seminar,AI&DS,1,1,1,1,57,1
18,23,IT,1,Sports,IT,5,3,1,1,70,1
108,11,MECH,4,Seminar,MECH,4,3,1,1,47,1
